time;gFx;gFy;gFz;TgF
1,378949;0,0154;0,1566;1,0258;1,038
1,383801;0,0147;0,1583;1,0319;1,044
1,388936;0,0176;0,1576;1,0334;1,046
1,398410;0,0242;0,1603;1,0273;1,040
1,400272;0,0257;0,1578;1,0190;1,031
1,403996;0,0257;0,1578;1,0119;1,024
1,411730;0,0249;0,1590;0,9982;1,011
1,413768;0,0239;0,1586;0,9894;1,002
1,418928;0,0191;0,1615;0,9821;0,995
1,423683;0,0132;0,1625;0,9809;0,994
1,428750;0,0139;0,1615;0,9836;0,997
1,433795;0,0105;0,1588;0,9850;0,998
1,438834;0,0098;0,1573;0,9894;1,002
1,443949;0,0107;0,1554;0,9948;1,007
1,449188;0,0132;0,1561;0,9990;1,011
1,454308;0,0183;0,1583;1,0039;1,016
1,461207;0,0195;0,1586;1,0046;1,017
1,464062;0,0239;0,1605;1,0056;1,019
1,470125;0,0235;0,1586;1,0026;1,015
1,474041;0,0242;0,1595;1,0041;1,017
1,479018;0,0264;0,1578;1,0043;1,017
1,484219;0,0208;0,1568;1,0029;1,015
1,489267;0,0200;0,1559;1,0046;1,017
1,499056;0,0144;0,1556;1,0061;1,018
1,500822;0,0115;0,1561;1,0080;1,020
1,504287;0,0151;0,1573;1,0095;1,022
1,510703;0,0154;0,1576;1,0063;1,019
1,514414;0,0159;0,1571;0,9999;1,012
1,519080;0,0178;0,1583;0,9960;1,009
1,524181;0,0191;0,1603;0,9929;1,006
1,529313;0,0191;0,1578;0,9885;1,001
1,534228;0,0169;0,1598;0,9838;0,997
1,539309;0,0149;0,1583;0,9811;0,994
1,544507;0,0151;0,1593;0,9784;0,991
1,549745;0,0151;0,1566;0,9797;0,992
1,554595;0,0120;0,1578;0,9828;0,996
1,560445;0,0107;0,1568;0,9855;0,998
1,564839;0,0095;0,1581;0,9936;1,006
1,569925;0,0117;0,1583;0,9985;1,011
1,577801;0,0127;0,1581;1,0036;1,016
1,581636;0,0132;0,1578;1,0100;1,022
1,585140;0,0127;0,1581;1,0183;1,031
1,589914;0,0149;0,1576;1,0232;1,035
1,594540;0,0125;0,1551;1,0251;1,037
1,599582;0,0129;0,1561;1,0276;1,039
1,604839;0,0129;0,1559;1,0256;1,037
1,614020;0,0151;0,1564;1,0268;1,039
1,615597;0,0161;0,1573;1,0219;1,034
1,619851;0,0154;0,1583;1,0180;1,030
1,624996;0,0188;0,1568;1,0148;1,027
1,629775;0,0200;0,1581;1,0085;1,021
1,635610;0,0200;0,1583;1,0087;1,021
1,639669;0,0186;0,1598;1,0073;1,020
1,645116;0,0176;0,1588;1,0039;1,016
1,650380;0,0173;0,1568;1,0017;1,014
1,655070;0,0220;0,1590;0,9995;1,012
1,660245;0,0232;0,1586;0,9987;1,011
1,665409;0,0210;0,1593;0,9951;1,008
1,670321;0,0181;0,1583;0,9899;1,003
1,675440;0,0159;0,1546;0,9843;0,997
1,680401;0,0159;0,1554;0,9811;0,993
1,685476;0,0142;0,1544;0,9792;0,991
1,690347;0,0144;0,1564;0,9797;0,992
1,699992;0,0137;0,1564;0,9824;0,995
1,701695;0,0139;0,1566;0,9887;1,001
1,705310;0,0129;0,1556;0,9912;1,003
1,710429;0,0129;0,1551;0,9958;1,008
1,715484;0,0144;0,1532;1,0014;1,013
1,720185;0,0159;0,1549;1,0092;1,021
1,726336;0,0186;0,1571;1,0114;1,024
1,730309;0,0208;0,1581;1,0170;1,029
1,735331;0,0217;0,1581;1,0195;1,032
1,740474;0,0183;0,1588;1,0254;1,038
1,745440;0,0149;0,1573;1,0276;1,040
1,754367;0,0125;0,1568;1,0278;1,040
1,755383;0,0127;0,1573;1,0249;1,037
1,761759;0,0125;0,1581;1,0244;1,037
1,766268;0,0083;0,1590;1,0190;1,031
1,770404;0,0042;0,1586;1,0183;1,031
1,777101;0,0049;0,1598;1,0102;1,023
1,780433;0,0068;0,1608;1,0024;1,015
1,785550;0,0066;0,1598;0,9938;1,007
1,790643;0,0068;0,1593;0,9894;1,002
1,795891;0,0112;0,1598;0,9858;0,999
1,800797;0,0144;0,1620;0,9831;0,996
1,805856;0,0127;0,1593;0,9843;0,997
1,814341;0,0103;0,1573;0,9853;0,998
1,818025;0,0122;0,1559;0,9870;0,999
1,821094;0,0159;0,1568;0,9904;1,003
1,826786;0,0139;0,1544;0,9870;0,999
1,831309;0,0134;0,1534;0,9882;1,000
1,836326;0,0134;0,1551;0,9907;1,003
1,841335;0,0117;0,1517;0,9955;1,007
1,846593;0,0105;0,1529;0,9995;1,011
1,851556;0,0132;0,1529;1,0048;1,016
1,856453;0,0132;0,1512;1,0092;1,021
1,861601;0,0127;0,1500;1,0131;1,024
1,866259;0,0134;0,1507;1,0175;1,029
1,871091;0,0107;0,1517;1,0183;1,030
1,877577;0,0110;0,1500;1,0195;1,031
1,881388;0,0149;0,1507;1,0170;1,028
1,886317;0,0154;0,1512;1,0114;1,023
1,891857;0,0154;0,1505;1,0053;1,017
1,896602;0,0149;0,1522;0,9963;1,008
1,901286;0,0147;0,1546;0,9865;0,999
1,906231;0,0115;0,1551;0,9799;0,992
1,914422;0,0129;0,1566;0,9789;0,991
1,916464;0,0095;0,1554;0,9806;0,993
1,921340;0,0098;0,1573;0,9831;0,996
1,928103;0,0090;0,1571;0,9892;1,002
1,931340;0,0103;0,1561;0,9938;1,006
1,936568;0,0090;0,1556;1,0004;1,013
1,941606;0,0117;0,1551;1,0012;1,013
1,946679;0,0137;0,1564;1,0053;1,017
1,951362;0,0144;0,1568;1,0063;1,019
1,956464;0,0115;0,1600;1,0080;1,021
1,961436;0,0112;0,1590;1,0109;1,023
1,966397;0,0090;0,1583;1,0136;1,026
1,971552;0,0103;0,1578;1,0146;1,027
1,976912;0,0156;0,1593;1,0173;1,030
1,981465;0,0173;0,1595;1,0166;1,029
1,986637;0,0191;0,1600;1,0180;1,031
1,993059;0,0193;0,1598;1,0178;1,030
1,999865;0,0210;0,1581;1,0151;1,028
2,001856;0,0203;0,1598;1,0144;1,027
2,006936;0,0186;0,1590;1,0117;1,024
2,011743;0,0161;0,1571;1,0100;1,022
2,016754;0,0166;0,1568;1,0068;1,019
2,021909;0,0144;0,1576;0,9995;1,012
2,027475;0,0156;0,1578;0,9975;1,010
2,032213;0,0149;0,1573;0,9960;1,008
2,037376;0,0139;0,1586;0,9933;1,006
2,044367;0,0159;0,1598;0,9938;1,007
2,047488;0,0156;0,1583;0,9919;1,005
2,052378;0,0164;0,1590;0,9931;1,006
2,057444;0,0164;0,1568;0,9914;1,004
2,062228;0,0151;0,1542;0,9924;1,004
2,067345;0,0112;0,1559;0,9912;1,003
2,072253;0,0078;0,1537;0,9894;1,001
2,079901;0,0110;0,1546;0,9872;0,999
2,082329;0,0129;0,1539;0,9894;1,001
2,087440;0,0154;0,1542;0,9914;1,003
2,092703;0,0186;0,1556;0,9907;1,003
2,097227;0,0198;0,1581;0,9929;1,006
2,102208;0,0230;0,1595;0,9914;1,004
2,107389;0,0225;0,1588;0,9919;1,005
2,113649;0,0161;0,1554;0,9924;1,005
2,117452;0,0139;0,1551;0,9931;1,005
2,122246;0,0171;0,1532;0,9921;1,004
2,127414;0,0178;0,1522;0,9933;1,005
2,132335;0,0200;0,1517;0,9936;1,005
2,137556;0,0200;0,1512;0,9948;1,006
2,143047;0,0151;0,1502;0,9980;1,009
2,147475;0,0122;0,1495;1,0012;1,012
2,152745;0,0105;0,1502;1,0039;1,015
2,157746;0,0083;0,1490;1,0080;1,019
2,162710;0,0115;0,1466;1,0112;1,022
2,167587;0,0139;0,1471;1,0105;1,021
2,172567;0,0129;0,1468;1,0107;1,021
2,177736;0,0173;0,1498;1,0102;1,021
2,182739;0,0181;0,1510;1,0078;1,019
2,187766;0,0149;0,1537;1,0051;1,017
2,199702;0,0125;0,1539;1,0061;1,018
2,201698;0,0098;0,1524;1,0097;1,021
2,202796;0,0103;0,1542;1,0131;1,025
2,208116;0,0134;0,1524;1,0148;1,026
2,213168;0,0173;0,1532;1,0153;1,027
2,217920;0,0213;0,1524;1,0146;1,026
2,222965;0,0181;0,1542;1,0134;1,025
2,227984;0,0142;0,1527;1,0102;1,022
2,233253;0,0093;0,1512;1,0100;1,021
2,238022;0,0105;0,1500;1,0097;1,021
2,244677;0,0129;0,1502;1,0105;1,022
2,248255;0,0164;0,1510;1,0102;1,022
2,253259;0,0156;0,1527;1,0114;1,023
2,259082;0,0122;0,1537;1,0141;1,026
2,263412;0,0105;0,1522;1,0156;1,027
2,268383;0,0083;0,1517;1,0092;1,021
2,273345;0,0122;0,1502;1,0007;1,012
2,278321;0,0107;0,1495;0,9916;1,003
2,283476;0,0095;0,1480;0,9831;0,994
2,288708;0,0088;0,1471;0,9750;0,986
2,298670;0,0086;0,1500;0,9753;0,987
2,299734;0,0083;0,1502;0,9775;0,989
2,303405;0,0076;0,1520;0,9882;1,000
2,310205;0,0100;0,1551;0,9955;1,008
2,313495;0,0068;0,1546;1,0024;1,014
2,318433;0,0049;0,1546;1,0105;1,022
2,323643;0,0044;0,1527;1,0175;1,029
2,328566;0,0029;0,1515;1,0232;1,034
2,333635;0,0059;0,1507;1,0232;1,034
2,338612;0,0051;0,1517;1,0236;1,035
2,343731;0,0068;0,1510;1,0254;1,036
2,348637;0,0068;0,1517;1,0268;1,038
2,353626;0,0086;0,1532;1,0244;1,036
2,359505;0,0112;0,1524;1,0214;1,033
2,363573;0,0100;0,1542;1,0168;1,028
2,368541;0,0110;0,1522;1,0158;1,027
2,373532;0,0117;0,1544;1,0158;1,028
2,378713;0,0137;0,1534;1,0148;1,026
2,383848;0,0149;0,1537;1,0148;1,027
2,388559;0,0144;0,1539;1,0126;1,024
2,396395;0,0147;0,1534;1,0085;1,020
2,399115;0,0156;0,1529;1,0036;1,015
2,403770;0,0149;0,1524;1,0017;1,013
2,409341;0,0195;0,1524;1,0024;1,014
2,414027;0,0176;0,1546;1,0004;1,012
2,418879;0,0166;0,1524;0,9999;1,012
2,423954;0,0186;0,1517;0,9999;1,012
2,429227;0,0200;0,1510;0,9980;1,010
2,434253;0,0181;0,1520;0,9946;1,006
2,439200;0,0183;0,1522;0,9914;1,003
2,444121;0,0171;0,1500;0,9929;1,004
2,449343;0,0144;0,1493;0,9953;1,007
2,454166;0,0110;0,1507;0,9968;1,008
2,460127;0,0105;0,1480;0,9963;1,007
2,464237;0,0068;0,1483;0,9968;1,008
2,469220;0,0095;0,1478;1,0007;1,012
2,474385;0,0093;0,1493;1,0029;1,014
2,479472;0,0093;0,1500;1,0063;1,017
2,484447;0,0095;0,1485;1,0083;1,019
2,489842;0,0100;0,1507;1,0092;1,020
2,500173;0,0110;0,1537;1,0068;1,019
2,502376;0,0125;0,1527;1,0043;1,016
2,504497;0,0129;0,1512;1,0007;1,012
2,509493;0,0117;0,1515;1,0012;1,013
2,514946;0,0093;0,1517;1,0004;1,012
2,519501;0,0064;0,1522;0,9980;1,010
2,524758;0,0064;0,1512;0,9985;1,010
2,529881;0,0071;0,1500;0,9992;1,010
2,534522;0,0090;0,1498;0,9982;1,009
2,539661;0,0086;0,1490;1,0007;1,012
2,546084;0,0054;0,1500;1,0051;1,016
2,550437;0,0039;0,1515;1,0070;1,018
2,554790;0,0051;0,1505;1,0073;1,018
2,560641;0,0068;0,1502;1,0058;1,017
2,564655;0,0066;0,1500;0,9987;1,010
2,569522;0,0086;0,1495;0,9921;1,003
2,575622;0,0107;0,1500;0,9885;1,000
2,579708;0,0129;0,1515;0,9838;0,995
2,584586;0,0139;0,1517;0,9836;0,995
2,589652;0,0161;0,1517;0,9831;0,995
2,594699;0,0176;0,1507;0,9819;0,994
2,599778;0,0186;0,1517;0,9850;0,997
2,604931;0,0213;0,1510;0,9865;0,998
2,615164;0,0222;0,1520;0,9860;0,998
2,616296;0,0222;0,1510;0,9904;1,002
2,620132;0,0208;0,1493;1,0007;1,012
2,626165;0,0171;0,1488;1,0083;1,019
2,630345;0,0132;0,1495;1,0124;1,023
2,635414;0,0120;0,1493;1,0163;1,027
2,640310;0,0154;0,1510;1,0166;1,028
2,645413;0,0176;0,1500;1,0173;1,028
2,650500;0,0171;0,1500;1,0183;1,029
2,655630;0,0151;0,1512;1,0163;1,028
2,660374;0,0117;0,1502;1,0114;1,023
2,665548;0,0081;0,1500;1,0112;1,022
2,670505;0,0059;0,1500;1,0114;1,023
2,677377;0,0024;0,1495;1,0107;1,022
2,681314;0,0076;0,1505;1,0087;1,020
2,685945;0,0071;0,1524;1,0100;1,021
2,690949;0,0100;0,1517;1,0139;1,025
2,695919;0,0115;0,1559;1,0151;1,027
2,701132;0,0132;0,1517;1,0158;1,027
2,705627;0,0171;0,1537;1,0109;1,023
2,717432;0,0169;0,1542;1,0085;1,020
2,718986;0,0139;0,1534;1,0065;1,018
2,720911;0,0154;0,1524;1,0061;1,018
2,728426;0,0120;0,1520;1,0090;1,020
2,730549;0,0125;0,1507;1,0097;1,021
2,735517;0,0151;0,1534;1,0087;1,020
2,740594;0,0151;0,1517;1,0083;1,020
2,745890;0,0156;0,1505;1,0056;1,017
2,750892;0,0129;0,1512;1,0009;1,012
2,755666;0,0090;0,1512;0,9955;1,007
2,761925;0,0061;0,1532;0,9882;1,000
2,765660;0,0078;0,1529;0,9877;1,000
2,770693;0,0083;0,1522;0,9865;0,998
2,776802;0,0059;0,1510;0,9860;0,998
2,781159;0,0061;0,1512;0,9890;1,000
2,785979;0,0051;0,1524;0,9919;1,004
2,791012;0,0039;0,1510;0,9953;1,007
2,796238;0,0044;0,1498;1,0017;1,013
2,801503;0,0017;0,1498;1,0080;1,019
2,806216;0,0024;0,1502;1,0100;1,021
2,814244;0,0046;0,1485;1,0119;1,023
2,817686;0,0088;0,1466;1,0131;1,024
2,821172;0,0107;0,1495;1,0097;1,021
2,827021;0,0142;0,1480;1,0087;1,020
2,831692;0,0129;0,1493;1,0063;1,017
2,836365;0,0107;0,1507;1,0024;1,014
2,844661;0,0086;0,1493;1,0029;1,014
2,846580;0,0068;0,1498;1,0002;1,011
2,851672;0,0103;0,1478;0,9977;1,009
2,856620;0,0144;0,1473;0,9965;1,007
2,862621;0,0169;0,1476;0,9973;1,008
2,866962;0,0164;0,1500;0,9955;1,007
2,871302;0,0169;0,1502;0,9977;1,009
2,876496;0,0178;0,1493;0,9977;1,009
2,881970;0,0183;0,1480;0,9960;1,007
2,886863;0,0195;0,1493;0,9929;1,004
